"dataset_id"	"dataset_titulo"	"estado_id"	"municipio_id"	"observacao_id"	"data_coleta_dia"	"data_coleta_mes"	"data_coleta_ano"
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-41"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-44"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-54"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-59"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-60"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-61"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0009/"	"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'"	"RS"	"Santa Maria"	"T4-92"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0023/"	"Conjunto de dados da dissertação 'Características e Gênense de uma Sequência de Solos nas Ecostas do Nordeste do Rio Grande do Sul'"	"RS"	"Salvador do Sul"	"Ciriaco_1"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0023/"	"Conjunto de dados da dissertação 'Características e Gênense de uma Sequência de Solos nas Ecostas do Nordeste do Rio Grande do Sul'"	"RS"	"Dois Irmões"	"Ciriaco_2"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0023/"	"Conjunto de dados da dissertação 'Características e Gênense de uma Sequência de Solos nas Ecostas do Nordeste do Rio Grande do Sul'"	"RS"	"Santo Antonio da Patrulha"	"Ciriaco_3"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0023/"	"Conjunto de dados da dissertação 'Características e Gênense de uma Sequência de Solos nas Ecostas do Nordeste do Rio Grande do Sul'"	"RS"	"Dois Irmões"	"Pituva_2"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0023/"	"Conjunto de dados da dissertação 'Características e Gênense de uma Sequência de Solos nas Ecostas do Nordeste do Rio Grande do Sul'"	"RS"	"Osório"	"Pituva_3"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Santa Vitória do Palmar"	"10"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Lagoa Vermelha"	"100"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Santa Maria"	"12"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Restinga Seca"	"15"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Santo Antônio da Patrulha"	"16"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Santa Maria"	"23"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Cachoeirinha"	"24"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"São Gabriel"	"26"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"São Pedro do Sul"	"28"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Paraíso do Sul"	"4"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Uruguaiana"	"44"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Caçapava do Sul"	"46"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Santa Maria"	"5"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Caxias do Sul"	"51"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Dom Pedrito"	"54"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"São Francisco de Paula"	"61"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Caxias do Sul"	"62"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Vacaria"	"63"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Flores da Cunha"	"64"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Bom Jesus"	"65"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"São Gabriel"	"67"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Passo Fundo"	"68"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Farroupilha"	"70"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Ipê"	"74"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Bom Jesus"	"78"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Victor Graeff"	"94"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0029/"	"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação"	"RS"	"Camaquã"	"99"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0030/"	"Caracterização pedológica em áreas de encosta do rebordo do planalto do RS"	"RS"	NA	"PERFIL-07"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0562/"	"Levantamento de Reconhecimento de Média Intensidade dos Solos da Região do Alto Paranaíba, Minas Gerais"	"MG"	"Pratinha"	"E14"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0562/"	"Levantamento de Reconhecimento de Média Intensidade dos Solos da Região do Alto Paranaíba, Minas Gerais"	"MG"	NA	"E34"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0562/"	"Levantamento de Reconhecimento de Média Intensidade dos Solos da Região do Alto Paranaíba, Minas Gerais"	"MG"	"Patrocínio"	"E71"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-15"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-17"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-22"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-23"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-24"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-25"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-26"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-27"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-28"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-29"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0566/"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"	"AM"	"Benjamin Constant"	"Perfil-30"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"AC-RFS-1"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"AC-RFS-2"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"AC-RFS-3"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"AC-RFS-4"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"AC-RFS-5"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"AC-RFS-6"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-1-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-2-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-3-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-4-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-5-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-6-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-7-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Linhares"	"P-8-F-R-D"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"P1"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"P2"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"P3"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0570/"	"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo"	"ES"	"Sooretama"	"P4"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Canoinhas"	"C-SC-01"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Água Doce"	"C-SC-03"	NA	NA	NA
