id,carbono_estoque_g.m2,data_coleta_ano,coord_x,coord_y,espessura,FOREST,NONFOREST,PASTURE,AGRICULTURE,FORESTRY,NONVEGETATION,data_coleta_ano
ctb0003-sm-dnos-046,3625,2009,-53.795904,-29.653944,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-047,4131,2009,-53.797283,-29.654583,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-048,3276,2009,-53.799054,-29.654445,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-049,4788,2009,-53.799533,-29.653968,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-050,3915,2009,-53.799876,-29.653101,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-051,1058,2009,-53.798608,-29.653072,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-052,3150,2009,-53.797866,-29.653518,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-053,2122,2009,-53.795823,-29.653543,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-054,4275,2009,-53.794759,-29.65719,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-055,2203,2009,-53.798576,-29.655777,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-056,2772,2009,-53.800101,-29.656367,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-057,4192,2009,-53.802126,-29.656873,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-058,2430,2009,-53.801405,-29.657328,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-059,1840,2009,-53.795093,-29.656811,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-060,1930,2009,-53.79213,-29.655161,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-061,1827,2009,-53.793303,-29.655905,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-062,2898,2009,-53.799539,-29.652645,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-063,3629,2009,-53.807537,-29.652779,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-064,3465,2009,-53.806834,-29.652269,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-065,2635,2009,-53.806154,-29.651724,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-066,1449,2009,-53.808047,-29.651232,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-067,2016,2009,-53.810477,-29.650894,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-068,1922,2009,-53.810061,-29.650623,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-069,2959,2009,-53.804721,-29.651086,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-070,4108,2009,-53.803219,-29.651684,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-071,3564,2009,-53.804261,-29.652893,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-072,3888,2009,-53.802675,-29.652871,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-073,5511,2009,-53.803316,-29.653768,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-074,1966,2009,-53.802057,-29.65548,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-075,3607,2009,-53.801966,-29.654216,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-076,4309,2009,-53.801884,-29.651857,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-077,3154,2009,-53.801571,-29.649229,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-078,5472,2009,-53.800074,-29.648679,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-079,4952,2009,-53.798709,-29.649183,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-080,3780,2009,-53.79658,-29.647794,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-081,3604,2009,-53.798624,-29.647548,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-082,2104,2009,-53.800643,-29.646427,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-083,3168,2009,-53.801826,-29.646066,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-084,4235,2009,-53.802176,-29.648401,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-085,2997,2009,-53.800361,-29.651218,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-086,4446,2009,-53.79877,-29.651636,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-087,4810,2009,-53.797196,-29.650298,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-088,2754,2009,-53.796987,-29.649121,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-089,3737,2009,-53.794885,-29.649711,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-090,4057,2009,-53.795826,-29.650713,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-091,4277,2009,-53.796188,-29.652779,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-092,2754,2009,-53.794408,-29.654742,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-093,3704,2009,-53.797649,-29.657177,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-094,2252,2009,-53.800373,-29.655175,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-095,5789,2009,-53.806399,-29.654389,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-096,7241,2009,-53.804268,-29.656062,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-097,4228,2009,-53.805302,-29.657426,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
