"id","carbono_estoque_kgm2","data_coleta_ano","coord_x","coord_y"
"ctb0003-sm-dnos-080",3.78,2009,-53.79658,-29.647794
"ctb0003-sm-dnos-081",3.6,2009,-53.798624,-29.647548
"ctb0003-sm-dnos-082",2.1,2009,-53.800643,-29.646427
"ctb0003-sm-dnos-083",3.17,2009,-53.801826,-29.646066
"ctb0003-sm-dnos-084",4.24,2009,-53.802176,-29.648401
"ctb0003-sm-dnos-085",3,2009,-53.800361,-29.651218
"ctb0003-sm-dnos-086",4.45,2009,-53.79877,-29.651636
"ctb0003-sm-dnos-087",4.81,2009,-53.797196,-29.650298
"ctb0003-sm-dnos-088",2.75,2009,-53.796987,-29.649121
"ctb0003-sm-dnos-089",3.74,2009,-53.794885,-29.649711
"ctb0003-sm-dnos-090",4.06,2009,-53.795826,-29.650713
"ctb0003-sm-dnos-091",4.28,2009,-53.796188,-29.652779
"ctb0003-sm-dnos-092",2.75,2009,-53.794408,-29.654742
"ctb0003-sm-dnos-093",3.7,2009,-53.797649,-29.657177
"ctb0003-sm-dnos-094",2.25,2009,-53.800373,-29.655175
"ctb0003-sm-dnos-095",5.79,2009,-53.806399,-29.654389
"ctb0003-sm-dnos-096",7.24,2009,-53.804268,-29.656062
"ctb0003-sm-dnos-097",4.23,2009,-53.805302,-29.657426
"ctb0003-sm-dnos-098",6.21,2009,-53.807257,-29.657608
"ctb0003-sm-dnos-099",2.49,2009,-53.80759,-29.656464
"ctb0003-sm-dnos-100",6.36,2009,-53.809483,-29.655057
"ctb0003-sm-dnos-101",3.07,2009,-53.810455,-29.653456
"ctb0003-sm-dnos-102",6.96,2009,-53.813868,-29.653407
"ctb0003-sm-dnos-103",5.21,2009,-53.815807,-29.651554
"ctb0003-sm-dnos-104",5.22,2009,-53.817632,-29.649864
"ctb0003-sm-dnos-105",4.19,2009,-53.818873,-29.647536
"ctb0003-sm-dnos-106",6.29,2009,-53.820936,-29.647208
"ctb0003-sm-dnos-107",10.63,2009,-53.819961,-29.644967
"ctb0003-sm-dnos-108",5.18,2009,-53.817577,-29.645775
"ctb0003-sm-dnos-109",3.76,2009,-53.816721,-29.644392
"ctb0003-sm-dnos-110",6.78,2009,-53.816153,-29.646251
"ctb0003-sm-dnos-111",6.01,2009,-53.816611,-29.648404
"ctb0003-sm-dnos-112",5.6,2009,-53.811275,-29.6551
"ctb0003-sm-dnos-113",3.54,2009,-53.807366,-29.653931
"ctb0003-sm-dnos-114",2.27,2009,-53.808993,-29.651437
"ctb0003-sm-dnos-115",5.28,2009,-53.812923,-29.649653
"ctb0003-sm-dnos-116",1.58,2009,-53.813232,-29.65128
"ctb0003-sm-dnos-117",2.18,2009,-53.814701,-29.649635
"ctb0003-sm-dnos-118",6.62,2009,-53.81388,-29.647975
"ctb0003-sm-dnos-119",6.34,2009,-53.814177,-29.646382
"ctb0003-sm-dnos-120",2.89,2009,-53.814058,-29.644258
"ctb0003-sm-dnos-121",5.4,2009,-53.812037,-29.643926
"ctb0003-sm-dnos-122",1.52,2009,-53.810899,-29.641713
"ctb0003-sm-dnos-123",5.1,2009,-53.803386,-29.649988
"ctb0003-sm-dnos-124",2.24,2009,-53.80643,-29.649006
"ctb0003-sm-dnos-125",1.54,2009,-53.808957,-29.648853
"ctb0003-sm-dnos-126",2.39,2009,-53.811243,-29.649264
"ctb0003-sm-dnos-127",1.62,2009,-53.811811,-29.647241
"ctb0003-sm-dnos-128",1.2,2009,-53.808963,-29.64702
"ctb0003-sm-dnos-129",1.58,2009,-53.806336,-29.647018
"ctb0003-sm-dnos-130",1.48,2009,-53.804158,-29.647128
"ctb0003-sm-dnos-131",1.57,2009,-53.805031,-29.643413
"ctb0003-sm-dnos-132",2.77,2009,-53.804305,-29.645335
"ctb0003-sm-dnos-133",1.57,2009,-53.80691,-29.644425
"ctb0003-sm-dnos-134",3.04,2009,-53.809659,-29.64505
"ctb0003-sm-dnos-135",3.63,2009,-53.812042,-29.645162
"ctb0003-sm-dnos-136",5.15,2009,-53.814595,-29.641137
"ctb0003-sm-dnos-137",2.46,2009,-53.814757,-29.642793
"ctb0003-sm-dnos-138",2.56,2009,-53.809797,-29.642767
"ctb0003-sm-dnos-139",2.93,2009,-53.806685,-29.641557
"ctb0003-sm-dnos-140",5,2009,-53.787549,-29.641442
"ctb0003-sm-dnos-141",1.97,2009,-53.790576,-29.642679
"ctb0003-sm-dnos-142",4.04,2009,-53.788381,-29.63922
"ctb0003-sm-dnos-143",6.86,2009,-53.786019,-29.637508
"ctb0003-sm-dnos-144",5.46,2009,-53.788554,-29.637093
"ctb0003-sm-dnos-145",6.08,2009,-53.785555,-29.634745
"ctb0003-sm-dnos-146",5.66,2009,-53.782922,-29.63555
"ctb0003-sm-dnos-147",4.45,2009,-53.770017,-29.640732
"ctb0003-sm-dnos-148",5.55,2009,-53.773006,-29.640575
"ctb0003-sm-dnos-149",6.61,2009,-53.775973,-29.639462
"ctb0003-sm-dnos-150",1.33,2009,-53.776691,-29.637458
"ctb0003-sm-dnos-151",5.06,2009,-53.773347,-29.637918
"ctb0003-sm-dnos-152",5.18,2009,-53.770344,-29.638366
"ctb0003-sm-dnos-153",3.93,2009,-53.774149,-29.6352
"ctb0003-sm-dnos-154",4.24,2009,-53.770128,-29.635703
"ctb0003-sm-dnos-155",4.79,2009,-53.770967,-29.633143
